device_student_count_24h,page_dwell_time_seconds,is_high_risk_asn,failed_attempts_1h,session_hardware_mismatch,is_off_peak_hour,target_label
2,55.1,0,0,0,0,0
15,26.7,1,6,1,1,1
3,63.6,0,2,0,0,0
118,2.9,1,3,1,1,1
62,33.7,1,6,1,1,1
2,48.0,0,0,1,0,0
3,52.9,0,2,1,0,0
1,81.9,0,0,0,0,0
1,50.1,0,0,0,0,0
77,22.7,1,4,0,1,1
1,49.1,0,0,0,1,0
115,16.5,0,2,0,1,1
10,17.7,0,4,0,1,1
82,22.9,1,4,1,1,1
37,23.2,1,2,1,0,1
1,61.2,0,1,0,0,0
114,43.8,0,2,0,0,0
1,58.8,0,0,0,0,0
48,11.0,1,4,1,1,1
1,76.8,0,0,0,0,0
1,118.0,0,0,0,0,0
1,41.3,0,0,0,0,0
27,14.7,1,4,0,1,1
78,19.0,1,2,0,1,1
3,81.4,0,0,0,0,0
98,22.1,1,4,1,1,1
1,55.4,0,1,0,0,0
1,29.8,0,1,0,0,0
114,31.4,0,4,0,1,1
23,9.8,0,5,0,0,1
1,84.4,0,0,0,1,0
109,24.9,0,1,0,0,0
54,11.0,1,5,0,0,1
61,31.1,1,4,1,0,1
45,30.9,0,0,0,0,0
1,29.8,1,0,0,0,0
83,20.4,1,5,1,1,1
1,22.6,0,0,1,0,0
2,59.5,0,0,0,0,0
114,25.1,1,0,0,0,1
1,87.0,0,3,0,0,0
1,85.0,0,2,0,0,0
3,81.1,0,0,0,1,0
2,62.8,0,1,0,0,0
64,29.8,0,4,0,1,1
83,24.8,1,3,1,0,1
1,72.8,0,0,0,0,0
3,53.8,0,1,0,0,0
50,18.7,0,3,1,0,1
78,20.7,1,4,0,0,1
3,14.5,1,4,1,1,1
1,49.9,0,0,1,0,0
1,86.0,0,1,0,0,0
1,107.6,0,0,0,0,0
104,17.9,1,4,1,1,1
110,9.6,1,0,1,1,1
1,50.7,0,0,0,0,0
46,48.1,0,1,0,0,0
59,29.2,1,4,1,1,1
1,58.1,0,3,0,0,0
39,24.9,1,5,1,1,1
1,54.5,0,3,0,0,0
2,8.0,0,1,0,0,0
1,66.8,0,0,0,0,0
31,16.3,0,0,1,1,1
1,59.4,0,0,0,0,0
1,75.7,0,0,0,1,0
3,21.6,0,5,1,1,1
1,43.5,0,0,0,0,0
1,64.4,0,0,0,0,0
104,8.1,0,4,0,1,1
2,62.6,0,0,0,0,0
1,51.7,0,1,0,0,0
1,91.6,0,1,0,0,0
61,39.0,0,0,0,0,0
1,8.0,0,1,1,0,0
99,43.8,0,3,0,0,0
2,27.6,0,1,1,0,0
76,40.5,0,1,0,0,0
1,71.2,0,0,0,0,0
1,45.3,0,0,0,0,0
1,72.7,0,0,0,0,0
1,31.8,0,0,0,0,0
2,31.4,0,1,0,0,0
3,90.9,0,1,0,0,0
1,55.6,0,1,0,0,0
1,69.5,0,0,0,0,0
1,72.5,0,0,0,0,0
2,43.6,0,0,0,0,0
3,58.8,1,0,0,0,0
65,21.9,1,1,0,1,1
1,47.6,0,2,0,0,0
49,44.3,0,0,0,0,0
1,25.1,0,0,0,0,0
114,8.6,1,5,1,1,1
51,29.5,1,5,0,0,1
1,93.1,1,1,0,0,0
1,137.8,0,0,1,0,0
1,31.2,0,0,0,0,0
80,33.7,0,1,1,0,1
3,66.1,0,1,0,0,0
1,51.6,0,1,0,0,0
73,4.6,1,3,1,0,1
114,28.9,0,4,1,1,1
1,44.4,0,0,0,0,0
1,45.1,0,1,0,0,0
1,58.4,0,0,0,0,0
21,14.0,1,0,0,0,0
1,105.2,0,3,0,0,0
2,60.8,1,0,0,0,0
1,84.9,0,1,0,0,0
1,105.5,0,0,0,1,0
1,73.3,0,0,0,0,0
88,31.9,0,4,1,1,1
2,36.4,0,0,1,0,0
1,89.3,0,0,0,0,0
50,29.3,1,4,1,1,1
3,41.5,0,0,0,0,0
91,9.5,1,2,1,0,1
2,87.3,0,0,1,0,0
1,41.5,0,0,1,0,0
23,29.4,0,3,0,0,1
74,34.5,0,2,0,1,1
38,29.3,0,1,0,0,0
24,30.8,1,3,1,0,1
2,74.0,0,0,0,0,0
1,73.1,0,0,0,0,0
37,10.5,0,3,1,1,1
87,41.9,0,0,0,1,0
19,25.7,0,1,0,1,0
46,19.5,0,0,0,0,0
29,25.6,1,2,0,1,1
2,72.5,0,0,0,0,0
14,14.5,0,6,0,1,1
1,65.3,0,1,0,0,0
1,41.7,0,1,0,0,0
1,69.8,0,0,0,0,0
1,50.6,0,1,0,0,0
41,5.5,1,3,1,0,1
43,49.9,0,2,0,0,0
2,52.4,0,0,0,0,0
81,34.1,1,3,1,1,1
1,28.4,0,0,0,0,0
1,76.3,0,0,0,0,0
